timestamp_start,timestamp_end,keypoint_id,x_start,y_start,z_start,x_end,y_end,z_end,dx,dy,dz
3,8.0,10,179,226,-0.2146,181,225,-0.252,2,-1,-0.0374
3,8.0,11,217,260,0.0196,210,256,0.0149,-7,-4,-0.0047
3,8.0,12,151,261,0.0935,149,246,-0.0797,-2,-15,-0.1732
3,8.0,13,259,301,-0.2538,244,270,-0.0017,-15,-31,0.2521
3,8.0,14,101,277,-0.202,130,198,-0.2292,29,-79,-0.0272
3,8.0,15,217,277,-0.5257,291,266,-0.2047,74,-11,0.321
3,8.0,16,154,265,-0.504,151,151,-0.2927,-3,-114,0.2113
3,8.0,17,212,265,-0.5968,301,261,-0.2615,89,-4,0.3353
3,8.0,18,162,256,-0.577,155,136,-0.3584,-7,-120,0.2186
3,8.0,19,210,263,-0.5428,299,257,-0.3111,89,-6,0.2317
3,8.0,20,164,256,-0.5236,162,137,-0.3417,-2,-119,0.1819
3,8.0,21,209,267,-0.5093,295,260,-0.2388,86,-7,0.2705
3,8.0,22,163,260,-0.4918,162,143,-0.3005,-1,-117,0.1913
3,8.0,23,203,370,-0.0497,190,350,-0.0019,-13,-20,0.0478
3,8.0,24,164,371,0.0496,154,350,0.002,-10,-21,-0.0476
3,8.0,25,198,454,-0.1306,182,424,-0.0357,-16,-30,0.0949
3,8.0,26,168,450,-0.008,152,426,-0.0449,-16,-24,-0.0369
3,8.0,27,185,529,0.2037,174,497,0.1451,-11,-32,-0.0586
3,8.0,28,174,528,0.3168,157,493,0.1499,-17,-35,-0.1669
3,8.0,29,183,534,0.2247,174,505,0.148,-9,-29,-0.0767
3,8.0,30,177,533,0.3342,161,501,0.1566,-16,-32,-0.1776
3,8.0,31,181,556,-0.0115,174,525,-0.1327,-7,-31,-0.1212
3,8.0,32,167,554,0.1132,152,521,-0.0618,-15,-33,-0.175
4,9.0,0,184,215,-0.749,175,242,-0.3103,-9,27,0.4387
4,9.0,1,190,210,-0.6968,181,238,-0.2687,-9,28,0.4281
4,9.0,2,193,211,-0.6966,183,239,-0.2688,-10,28,0.4278
4,9.0,3,196,211,-0.6966,186,239,-0.2689,-10,28,0.4277
4,9.0,4,180,209,-0.7034,173,236,-0.258,-7,27,0.4454
