timestamp_sec,joint,angle_diff_deg
10.1,left_elbow,3.97
10.1,right_elbow,59.71
10.1,left_shoulder,11.01
10.1,right_shoulder,45.97
10.1,left_knee,-14.75
10.1,right_knee,1.71
10.167,left_elbow,-7.91
10.167,right_elbow,97.27
10.167,left_shoulder,-43.63
10.167,right_shoulder,39.34
10.167,left_knee,-1.97
10.167,right_knee,12.38
10.333,left_elbow,164.65
10.333,right_elbow,-18.35
10.333,left_shoulder,-8.63
10.333,right_shoulder,32.17
10.333,left_knee,-66.62
10.333,right_knee,-11.22
10.4,left_elbow,81.98
10.4,right_elbow,-10.41
10.4,left_shoulder,3.18
10.4,right_shoulder,11.27
10.4,left_knee,-87.2
10.4,right_knee,18.21
10.433,left_elbow,39.69
10.433,right_elbow,-23.13
10.433,left_shoulder,-34.98
10.433,right_shoulder,1.73
10.433,left_knee,-88.75
10.433,right_knee,-29.54
10.5,left_elbow,23.83
10.5,right_elbow,-21.94
10.5,left_shoulder,-2.24
10.5,right_shoulder,3.48
10.5,left_knee,-77.6
10.5,right_knee,-34.21
10.567,left_elbow,45.82
10.567,right_elbow,-15.29
10.567,left_shoulder,20.31
10.567,right_shoulder,-4.81
10.567,left_knee,-82.27
10.567,right_knee,-58.83
10.6,left_elbow,87.33
10.6,right_elbow,-19.6
10.6,left_shoulder,51.5
10.6,right_shoulder,-13.98
10.6,left_knee,-84.08
10.6,right_knee,-39.95
10.667,left_elbow,155.4
10.667,right_elbow,-29.86
10.667,left_shoulder,-22.79
10.667,right_shoulder,-43.95
10.667,left_knee,-44.46
10.667,right_knee,-22.11
10.833,left_elbow,119.82
10.833,right_elbow,-13.15
10.833,left_shoulder,-53.63
10.833,right_shoulder,-46.82
10.833,left_knee,20.04
10.833,right_knee,3.27
10.9,left_elbow,136.22
10.9,right_elbow,136.36
10.9,left_shoulder,-6.4
10.9,right_shoulder,-38.31
10.9,left_knee,16.88
10.9,right_knee,40.67
10.933,left_elbow,151.09
10.933,right_elbow,147.39
10.933,left_shoulder,32.76
10.933,right_shoulder,-21.85
10.933,left_knee,-2.14
10.933,right_knee,74.67
